"data_resultado";"genero";"fx_etaria";"total";"total_acumulado"
2020-04-03;"Masculino";"0-4";6;28
2020-04-03;"Masculino";"10-14";1;4
2020-04-03;"Masculino";"15-19";2;20
2020-04-03;"Masculino";"20-24";4;46
2020-04-03;"Masculino";"25-29";17;56
2020-04-03;"Masculino";"30-34";19;70
2020-04-03;"Masculino";"35-39";14;63
2020-04-03;"Masculino";"40-44";8;50
2020-04-03;"Masculino";"45-49";5;26
2020-04-03;"Masculino";"5-9";1;13
2020-04-03;"Masculino";"50-54";3;22
2020-04-03;"Masculino";"55-59";8;26
2020-04-03;"Masculino";"60-64";4;21
2020-04-03;"Masculino";"65-69";3;10
2020-04-03;"Masculino";"70-74";2;9
2020-04-03;"Masculino";"75-79";4;9
2020-04-03;"Masculino";"85-89";2;5
2020-04-03;"Masculino";"90-94";1;1
2020-04-03;"Masculino";"95-99";1;1
2020-04-04;"Feminino";"0-4";3;20
2020-04-04;"Feminino";"10-14";1;8
2020-04-04;"Feminino";"15-19";2;24
2020-04-04;"Feminino";"20-24";11;97
2020-04-04;"Feminino";"25-29";11;104
2020-04-04;"Feminino";"30-34";11;139
2020-04-04;"Feminino";"35-39";12;113
2020-04-04;"Feminino";"40-44";11;70
2020-04-04;"Feminino";"45-49";10;50
2020-04-04;"Feminino";"50-54";9;43
2020-04-04;"Feminino";"55-59";4;35
2020-04-04;"Feminino";"60-64";5;26
2020-04-04;"Feminino";"65-69";2;18
2020-04-04;"Feminino";"70-74";1;10
2020-04-04;"Feminino";"75-79";2;7
2020-04-04;"Feminino";"80-84";1;15
2020-04-04;"Masculino";"0-4";4;32
2020-04-04;"Masculino";"20-24";5;51
2020-04-04;"Masculino";"25-29";5;61
2020-04-04;"Masculino";"30-34";6;76
2020-04-04;"Masculino";"35-39";11;74
2020-04-04;"Masculino";"40-44";11;61
2020-04-04;"Masculino";"45-49";5;31
2020-04-04;"Masculino";"5-9";2;15
2020-04-04;"Masculino";"50-54";6;28
2020-04-04;"Masculino";"55-59";4;30
2020-04-04;"Masculino";"60-64";6;27
2020-04-04;"Masculino";"65-69";4;14
2020-04-04;"Masculino";"70-74";2;11
2020-04-04;"Masculino";"75-79";3;12
2020-04-04;"Masculino";"80-84";4;10
2020-04-04;"Masculino";"85-89";1;6
2020-04-05;"Feminino";"15-19";1;25
2020-04-05;"Feminino";"20-24";5;102
2020-04-05;"Feminino";"25-29";4;108
2020-04-05;"Feminino";"30-34";6;145
2020-04-05;"Feminino";"35-39";7;120
2020-04-05;"Feminino";"40-44";7;77
2020-04-05;"Feminino";"45-49";2;52
2020-04-05;"Feminino";"50-54";1;44
2020-04-05;"Feminino";"55-59";3;38
2020-04-05;"Feminino";"60-64";2;28
2020-04-05;"Masculino";"0-4";1;33
2020-04-05;"Masculino";"15-19";2;22
2020-04-05;"Masculino";"20-24";2;53
2020-04-05;"Masculino";"25-29";2;63
2020-04-05;"Masculino";"30-34";2;78
2020-04-05;"Masculino";"35-39";4;78
2020-04-05;"Masculino";"40-44";2;63
2020-04-05;"Masculino";"50-54";1;29
2020-04-05;"Masculino";"55-59";1;31
2020-04-05;"Masculino";"65-69";1;15
2020-04-06;"Feminino";"0-4";3;23
2020-04-06;"Feminino";"10-14";2;10
2020-04-06;"Feminino";"20-24";4;106
2020-04-06;"Feminino";"25-29";4;112
2020-04-06;"Feminino";"30-34";8;153
2020-04-06;"Feminino";"35-39";13;133
2020-04-06;"Feminino";"40-44";5;82
2020-04-06;"Feminino";"45-49";2;54
2020-04-06;"Feminino";"50-54";7;51
2020-04-06;"Feminino";"55-59";7;45
2020-04-06;"Feminino";"60-64";4;32
2020-04-06;"Feminino";"65-69";1;19
2020-04-06;"Feminino";"70-74";1;11
2020-04-06;"Feminino";"75-79";1;8
2020-04-06;"Feminino";"80-84";2;17
2020-04-06;"Feminino";"90-94";2;8
2020-04-06;"Masculino";"0-4";3;36
2020-04-06;"Masculino";"10-14";1;5
2020-04-06;"Masculino";"15-19";1;23
2020-04-06;"Masculino";"20-24";3;56
2020-04-06;"Masculino";"25-29";6;69
2020-04-06;"Masculino";"30-34";7;85
2020-04-06;"Masculino";"35-39";5;83
2020-04-06;"Masculino";"40-44";6;69
2020-04-06;"Masculino";"45-49";6;37
2020-04-06;"Masculino";"50-54";3;32
2020-04-06;"Masculino";"55-59";3;34
2020-04-06;"Masculino";"60-64";2;29
2020-04-06;"Masculino";"65-69";1;16
2020-04-06;"Masculino";"70-74";4;15
2020-04-06;"Masculino";"75-79";2;14
2020-04-06;"Masculino";"85-89";1;7
2020-04-07;"Feminino";"20-24";1;107
2020-04-07;"Feminino";"30-34";1;154
2020-04-07;"Feminino";"60-64";1;33
2020-04-07;"Masculino";"20-24";1;57
2020-04-07;"Masculino";"45-49";2;39
2020-04-07;"Masculino";"70-74";1;16
2020-04-08;"Feminino";"20-24";1;108
2020-04-08;"Feminino";"25-29";3;115
2020-04-08;"Feminino";"30-34";3;157
2020-04-08;"Feminino";"35-39";4;137
2020-04-08;"Feminino";"40-44";1;83
2020-04-08;"Feminino";"5-9";1;10
2020-04-08;"Feminino";"50-54";2;53
2020-04-08;"Feminino";"65-69";1;20
2020-04-08;"Masculino";"0-4";2;38
2020-04-08;"Masculino";"30-34";2;87
2020-04-08;"Masculino";"35-39";1;84
2020-04-08;"Masculino";"5-9";1;16
2020-04-08;"Masculino";"50-54";1;33
2020-04-08;"Masculino";"55-59";2;36
2020-04-09;"Feminino";"10-14";1;11
2020-04-09;"Feminino";"20-24";3;111
2020-04-09;"Feminino";"25-29";5;120
2020-04-09;"Feminino";"30-34";10;167
2020-04-09;"Feminino";"35-39";8;145
2020-04-09;"Feminino";"40-44";6;89
2020-04-09;"Feminino";"45-49";1;55
2020-04-09;"Feminino";"50-54";4;57
2020-04-09;"Feminino";"55-59";3;48
2020-04-09;"Feminino";"60-64";3;36
2020-04-09;"Feminino";"65-69";1;21
2020-04-09;"Feminino";"70-74";1;12
2020-04-09;"Feminino";"85-89";1;8
2020-04-09;"Masculino";"0-4";4;42
2020-04-09;"Masculino";"15-19";1;24
2020-04-09;"Masculino";"20-24";1;58
2020-04-09;"Masculino";"30-34";4;91
2020-04-09;"Masculino";"35-39";6;90
2020-04-09;"Masculino";"40-44";2;71
2020-04-09;"Masculino";"45-49";4;43
2020-04-09;"Masculino";"5-9";3;19
2020-04-09;"Masculino";"50-54";1;34
2020-04-09;"Masculino";"55-59";2;38
2020-04-09;"Masculino";"60-64";2;31
2020-04-09;"Masculino";"65-69";1;17
2020-04-09;"Masculino";"70-74";2;18
2020-04-09;"Masculino";"80-84";1;11
2020-04-09;"Masculino";"95-99";1;2
2020-04-10;"Feminino";"0-4";2;25
2020-04-10;"Feminino";"10-14";1;12
2020-04-10;"Feminino";"15-19";2;27
2020-04-10;"Feminino";"20-24";11;122
2020-04-10;"Feminino";"25-29";15;135
2020-04-10;"Feminino";"30-34";14;181
2020-04-10;"Feminino";"35-39";15;160
2020-04-10;"Feminino";"40-44";8;97
2020-04-10;"Feminino";"45-49";13;68
2020-04-10;"Feminino";"50-54";9;66
2020-04-10;"Feminino";"55-59";8;56
2020-04-10;"Feminino";"60-64";3;39
2020-04-10;"Feminino";"65-69";2;23
2020-04-10;"Feminino";"70-74";3;15
2020-04-10;"Feminino";"75-79";1;9
2020-04-10;"Feminino";"85-89";1;9
2020-04-10;"Feminino";"90-94";2;10
2020-04-10;"Feminino";"95-99";2;3
2020-04-10;"Masculino";"&gt;100";1;1
2020-04-10;"Masculino";"0-4";2;44
2020-04-10;"Masculino";"10-14";2;7
2020-04-10;"Masculino";"15-19";1;25
2020-04-10;"Masculino";"20-24";2;60
2020-04-10;"Masculino";"25-29";3;72
2020-04-10;"Masculino";"30-34";9;100
2020-04-10;"Masculino";"35-39";10;100
2020-04-10;"Masculino";"40-44";9;80
2020-04-10;"Masculino";"45-49";1;44
2020-04-10;"Masculino";"5-9";1;20
2020-04-10;"Masculino";"50-54";4;38
2020-04-10;"Masculino";"55-59";7;45
2020-04-10;"Masculino";"60-64";1;32
2020-04-10;"Masculino";"70-74";1;19
2020-04-10;"Masculino";"75-79";1;15
2020-04-10;"Masculino";"80-84";1;12
2020-04-10;"Masculino";"90-94";1;2
2020-04-12;"Feminino";"0-4";2;27
2020-04-12;"Feminino";"10-14";1;13
2020-04-12;"Feminino";"20-24";6;128
2020-04-12;"Feminino";"25-29";10;145
2020-04-12;"Feminino";"30-34";17;198
2020-04-12;"Feminino";"35-39";21;181
2020-04-12;"Feminino";"40-44";14;111
2020-04-12;"Feminino";"45-49";8;76
2020-04-12;"Feminino";"5-9";1;11
2020-04-12;"Feminino";"50-54";8;74
2020-04-12;"Feminino";"55-59";4;60
2020-04-12;"Feminino";"60-64";6;45
2020-04-12;"Feminino";"75-79";2;11
2020-04-12;"Feminino";"80-84";3;20
2020-04-12;"Feminino";"85-89";1;10
2020-04-12;"Feminino";"90-94";1;11
2020-04-12;"Masculino";"&gt;100";1;2
2020-04-12;"Masculino";"0-4";5;49
2020-04-12;"Masculino";"15-19";2;27
2020-04-12;"Masculino";"20-24";5;65
2020-04-12;"Masculino";"25-29";13;85
2020-04-12;"Masculino";"30-34";11;111
2020-04-12;"Masculino";"35-39";10;110
2020-04-12;"Masculino";"40-44";13;93
2020-04-12;"Masculino";"45-49";8;52
2020-04-12;"Masculino";"5-9";3;23
2020-04-12;"Masculino";"50-54";8;46
2020-04-12;"Masculino";"55-59";5;50
2020-04-12;"Masculino";"60-64";6;38
2020-04-12;"Masculino";"65-69";2;19
2020-04-12;"Masculino";"70-74";1;20
2020-04-12;"Masculino";"75-79";2;17
2020-04-12;"Masculino";"80-84";2;14
2020-04-12;"Masculino";"90-94";2;4
2020-04-13;"Feminino";"0-4";6;33
2020-04-13;"Feminino";"10-14";5;18
2020-04-13;"Feminino";"15-19";1;28
2020-04-13;"Feminino";"20-24";7;135
2020-04-13;"Feminino";"25-29";15;160
2020-04-13;"Feminino";"30-34";34;232
