"data_resultado";"genero";"fx_etaria";"total";"total_acumulado"
2020-04-18;"Feminino";"80-84";1;5
2020-04-18;"Masculino";"0-4";1;8
2020-04-18;"Masculino";"25-29";2;20
2020-04-18;"Masculino";"30-34";1;24
2020-04-18;"Masculino";"35-39";7;50
2020-04-18;"Masculino";"40-44";2;29
2020-04-18;"Masculino";"45-49";1;34
2020-04-18;"Masculino";"50-54";1;22
2020-04-18;"Masculino";"55-59";1;18
2020-04-18;"Masculino";"70-74";1;8
2020-04-18;"Masculino";"80-84";2;4
2020-04-18;"Masculino";"85-89";2;5
2020-04-20;"Feminino";"25-29";1;24
2020-04-20;"Feminino";"30-34";3;40
2020-04-20;"Feminino";"40-44";1;27
2020-04-20;"Feminino";"70-74";1;7
2020-04-20;"Feminino";"75-79";1;5
2020-04-20;"Masculino";"20-24";1;8
2020-04-20;"Masculino";"25-29";1;21
2020-04-20;"Masculino";"30-34";1;25
2020-04-20;"Masculino";"35-39";1;51
2020-04-20;"Masculino";"45-49";1;35
2020-04-20;"Masculino";"70-74";1;9
2020-04-21;"Feminino";"20-24";1;10
2020-04-21;"Feminino";"30-34";2;42
2020-04-21;"Feminino";"35-39";1;48
2020-04-21;"Feminino";"50-54";1;27
2020-04-21;"Feminino";"55-59";3;20
2020-04-21;"Feminino";"60-64";1;14
2020-04-21;"Feminino";"65-69";3;11
2020-04-21;"Feminino";"75-79";1;6
2020-04-21;"Masculino";"0-4";1;9
2020-04-21;"Masculino";"20-24";1;9
2020-04-21;"Masculino";"25-29";3;24
2020-04-21;"Masculino";"30-34";5;30
2020-04-21;"Masculino";"35-39";3;54
2020-04-21;"Masculino";"45-49";3;38
2020-04-21;"Masculino";"50-54";1;23
2020-04-21;"Masculino";"65-69";1;12
2020-04-21;"Masculino";"70-74";1;10
2020-04-21;"Masculino";"95-99";1;1
2020-04-22;"Feminino";"15-19";1;2
2020-04-22;"Feminino";"20-24";5;15
2020-04-22;"Feminino";"25-29";2;26
2020-04-22;"Feminino";"30-34";5;47
2020-04-22;"Feminino";"35-39";4;52
2020-04-22;"Feminino";"40-44";6;33
2020-04-22;"Feminino";"45-49";5;23
2020-04-22;"Feminino";"50-54";3;30
2020-04-22;"Feminino";"55-59";2;22
2020-04-22;"Feminino";"60-64";1;15
2020-04-22;"Feminino";"65-69";1;12
2020-04-22;"Feminino";"70-74";1;8
2020-04-22;"Feminino";"75-79";2;8
2020-04-22;"Feminino";"80-84";2;7
2020-04-22;"Masculino";"0-4";1;10
2020-04-22;"Masculino";"20-24";1;10
2020-04-22;"Masculino";"25-29";1;25
2020-04-22;"Masculino";"30-34";3;33
2020-04-22;"Masculino";"35-39";2;56
2020-04-22;"Masculino";"40-44";5;34
2020-04-22;"Masculino";"45-49";1;39
2020-04-22;"Masculino";"50-54";1;24
2020-04-22;"Masculino";"55-59";4;22
2020-04-22;"Masculino";"60-64";2;21
2020-04-22;"Masculino";"65-69";2;14
2020-04-22;"Masculino";"75-79";1;3
2020-04-23;"Feminino";"20-24";1;16
2020-04-23;"Feminino";"25-29";2;28
2020-04-23;"Feminino";"30-34";1;48
2020-04-23;"Feminino";"40-44";1;34
2020-04-23;"Feminino";"45-49";1;24
2020-04-23;"Feminino";"55-59";1;23
2020-04-23;"Feminino";"70-74";1;9
2020-04-23;"Masculino";"10-14";1;1
2020-04-23;"Masculino";"15-19";1;3
2020-04-23;"Masculino";"30-34";2;35
2020-04-23;"Masculino";"35-39";2;58
2020-04-23;"Masculino";"40-44";3;37
2020-04-23;"Masculino";"45-49";2;41
2020-04-23;"Masculino";"5-9";1;2
2020-04-23;"Masculino";"50-54";3;27
2020-04-23;"Masculino";"60-64";1;22
2020-04-23;"Masculino";"65-69";1;15
2020-04-23;"Masculino";"70-74";1;11
2020-04-23;"Masculino";"75-79";1;4
2020-04-23;"Masculino";"80-84";1;5
2020-04-24;"Feminino";"20-24";1;17
2020-04-24;"Feminino";"25-29";1;29
2020-04-24;"Feminino";"35-39";3;55
2020-04-24;"Feminino";"40-44";2;36
2020-04-24;"Feminino";"50-54";1;31
2020-04-24;"Feminino";"55-59";1;24
2020-04-24;"Feminino";"60-64";1;16
2020-04-24;"Feminino";"65-69";1;13
2020-04-24;"Feminino";"75-79";1;9
2020-04-24;"Feminino";"80-84";1;8
2020-04-24;"Feminino";"90-94";1;4
2020-04-24;"Masculino";"20-24";1;11
2020-04-24;"Masculino";"25-29";2;27
2020-04-24;"Masculino";"35-39";1;59
2020-04-24;"Masculino";"45-49";1;42
2020-04-24;"Masculino";"50-54";1;28
2020-04-24;"Masculino";"55-59";1;23
2020-04-24;"Masculino";"60-64";1;23
2020-04-24;"Masculino";"65-69";2;17
2020-04-24;"Masculino";"75-79";2;6
2020-04-24;"Masculino";"85-89";1;6
2020-04-25;"Feminino";"15-19";1;3
2020-04-25;"Feminino";"25-29";2;31
2020-04-25;"Feminino";"30-34";4;52
2020-04-25;"Feminino";"35-39";1;56
